mName,id,nametype,recclass,mass (g),fall,year,reclat,reclong,GeoLocation (address),GeoLocation (zip),GeoLocation (city),GeoLocation,GeoLocation (state)
Aarhus,2,Valid,H6,720,Fell,01/01/1951 12:00:00 AM,56.18333,10.23333,,,,POINT (10.23333 56.18333),
Abee,6,Valid,EH4,107000,Fell,01/01/1952 12:00:00 AM,54.21667,-113,,,,POINT (-113 54.21667),
Acapulco,10,Valid,Acapulcoite,1914,Fell,01/01/1976 12:00:00 AM,16.88333,-99.9,,,,POINT (-99.9 16.88333),
Achiras,370,Valid,L6,780,Fell,01/01/1902 12:00:00 AM,-33.16667,-64.95,,,,POINT (-64.95 -33.16667),
Adhi Kot,379,Valid,EH4,4239,Fell,01/01/1919 12:00:00 AM,32.1,71.8,,,,POINT (71.8 32.1),
Adzhi-Bogdo (stone),390,Valid,LL3-6,910,Fell,01/01/1949 12:00:00 AM,44.83333,95.16667,,,,POINT (95.16667 44.83333),
Agen,392,Valid,H5,30000,Fell,01/01/1814 12:00:00 AM,44.21667,0.61667,,,,POINT (0.61667 44.21667),
Aguada,398,Valid,L6,1620,Fell,01/01/1930 12:00:00 AM,-31.6,-65.23333,,,,POINT (-65.23333 -31.6),
Aguila Blanca,417,Valid,L,1440,Fell,01/01/1920 12:00:00 AM,-30.86667,-64.55,,,,POINT (-64.55 -30.86667),
Aioun el Atrouss,423,Valid,Diogenite-pm,1000,Fell,01/01/1974 12:00:00 AM,16.39806,-9.57028,,,,POINT (-9.57028 16.39806),
Aïr,424,Valid,L6,24000,Fell,01/01/1925 12:00:00 AM,19.08333,8.38333,,,,POINT (8.38333 19.08333),
Akaba,426,Valid,L6,779,Fell,01/01/1949 12:00:00 AM,29.51667,35.05,,,,POINT (35.05 29.51667),
Akbarpur,427,Valid,H4,1800,Fell,01/01/1838 12:00:00 AM,29.71667,77.95,,,,POINT (77.95 29.71667),
Akwanga,432,Valid,H,3000,Fell,01/01/1959 12:00:00 AM,8.91667,8.43333,,,,POINT (8.43333 8.91667),
Akyumak,433,Valid,"Iron, IVA",50000,Fell,01/01/1981 12:00:00 AM,39.91667,42.81667,,,,POINT (42.81667 39.91667),
Al Rais,446,Valid,CR2-an,160,Fell,01/01/1957 12:00:00 AM,24.41667,39.51667,,,,POINT (39.51667 24.41667),
Al Zarnkh,447,Valid,LL5,700,Fell,01/01/2001 12:00:00 AM,13.66033,28.96,,,,POINT (28.96 13.66033),
Alais,448,Valid,CI1,6000,Fell,01/01/1806 12:00:00 AM,44.11667,4.08333,,,,POINT (4.08333 44.11667),
Albareto,453,Valid,L/LL4,2000,Fell,01/01/1766 12:00:00 AM,44.65,11.01667,,,,POINT (11.01667 44.65),
Alberta,454,Valid,L,625,Fell,01/01/1949 12:00:00 AM,2,22.66667,,,,POINT (22.66667 2),
Alby sur Chéran,458,Valid,Eucrite-mmict,252,Fell,01/01/2002 12:00:00 AM,45.82133,6.01533,,,,POINT (6.01533 45.82133),
Aldsworth,461,Valid,LL5,700,Fell,01/01/1835 12:00:00 AM,51.78333,-1.78333,,,,POINT (-1.78333 51.78333),
Aleppo,462,Valid,L6,3200,Fell,01/01/1873 12:00:00 AM,36.23333,37.13333,,,,POINT (37.13333 36.23333),
Alessandria,463,Valid,H5,908,Fell,01/01/1860 12:00:00 AM,44.88333,8.75,,,,POINT (8.75 44.88333),
Alexandrovsky,465,Valid,H4,9251,Fell,01/01/1900 12:00:00 AM,50.95,31.81667,,,,POINT (31.81667 50.95),
Alfianello,466,Valid,L6,228000,Fell,01/01/1883 12:00:00 AM,45.26667,10.15,,,,POINT (10.15 45.26667),
Allegan,2276,Valid,H5,32000,Fell,01/01/1899 12:00:00 AM,42.53333,-85.88333,,,,POINT (-85.88333 42.53333),
Allende,2278,Valid,CV3,2000000,Fell,01/01/1969 12:00:00 AM,26.96667,-105.31667,,,,POINT (-105.31667 26.96667),
Almahata Sitta,48915,Valid,Ureilite-an,3950,Fell,01/01/2008 12:00:00 AM,20.74575,32.41275,,,,POINT (32.41275 20.74575),
Alta'ameem,2284,Valid,LL5,6000,Fell,01/01/1977 12:00:00 AM,35.27333,44.21556,,,,POINT (44.21556 35.27333),
Ambapur Nagla,2290,Valid,H5,6400,Fell,01/01/1895 12:00:00 AM,27.66667,78.25,,,,POINT (78.25 27.66667),
Andhara,2294,Valid,Stone-uncl,2700,Fell,01/01/1880 12:00:00 AM,26.58333,85.56667,,,,POINT (85.56667 26.58333),
Andover,2295,Valid,L6,3200,Fell,01/01/1898 12:00:00 AM,44.61667,-70.75,,,,POINT (-70.75 44.61667),
Andreevka,2296,Valid,L3,600,Fell,01/01/1969 12:00:00 AM,48.7,37.5,,,,POINT (37.5 48.7),
Andura,2298,Valid,H6,17900,Fell,01/01/1939 12:00:00 AM,20.88333,76.86667,,,,POINT (76.86667 20.88333),
Northwest Africa 5815,50693,Valid,L5,256.8,Found,,0,0,,,,POINT (0 0),
Angra dos Reis (stone),2302,Valid,Angrite,1500,Fell,01/01/1869 12:00:00 AM,-22.96667,-44.31667,,,,POINT (-44.31667 -22.96667),
Ankober,2304,Valid,H4,6500,Fell,01/01/1942 12:00:00 AM,9.53333,39.71667,,,,POINT (39.71667 9.53333),
Anlong,2305,Valid,H5,2500,Fell,01/01/1971 12:00:00 AM,25.15,105.18333,,,,POINT (105.18333 25.15),
Aomori,2313,Valid,L6,320,Fell,01/01/1984 12:00:00 AM,40.81056,140.78556,,,,POINT (140.78556 40.81056),
Appley Bridge,2318,Valid,LL6,15000,Fell,01/01/1914 12:00:00 AM,53.58333,-2.71667,,,,POINT (-2.71667 53.58333),
Apt,2320,Valid,L6,3200,Fell,01/01/1803 12:00:00 AM,43.86667,5.38333,,,,POINT (5.38333 43.86667),
Arbol Solo,2325,Valid,H5,810,Fell,01/01/1954 12:00:00 AM,-33,-66,,,,POINT (-66 -33),
Archie,2329,Valid,H6,5070,Fell,01/01/1932 12:00:00 AM,38.5,-94.3,,,,POINT (-94.3 38.5),
Arroyo Aguiar,2340,Valid,H5,7450,Fell,01/01/1950 12:00:00 AM,-31.41667,-60.66667,,,,POINT (-60.66667 -31.41667),
Ash Creek,48954,Valid,L6,9500,Fell,01/01/2009 12:00:00 AM,31.805,-97.01,,,,POINT (-97.01 31.805),
Ashdon,2346,Valid,L6,1300,Fell,01/01/1923 12:00:00 AM,52.05,0.3,,,,POINT (0.3 52.05),
Assisi,2353,Valid,H5,2000,Fell,01/01/1886 12:00:00 AM,43.03333,12.55,,,,POINT (12.55 43.03333),
Atarra,4883,Valid,L4,1280,Fell,01/01/1920 12:00:00 AM,25.25417,80.625,,,,POINT (80.625 25.25417),
Athens,4885,Valid,LL6,265,Fell,01/01/1933 12:00:00 AM,34.75,-87,,,,POINT (-87 34.75),
Atoka,4888,Valid,L6,1384.2,Fell,01/01/1945 12:00:00 AM,34.31667,-96.15,,,,POINT (-96.15 34.31667),
Aubres,4893,Valid,Aubrite,800,Fell,01/01/1836 12:00:00 AM,44.38333,5.16667,,,,POINT (5.16667 44.38333),
Aumale,4899,Valid,L6,50000,Fell,01/01/1865 12:00:00 AM,36.16667,3.66667,,,,POINT (3.66667 36.16667),
Aumieres,4900,Valid,L6,2000,Fell,01/01/1842 12:00:00 AM,44.33333,3.23333,,,,POINT (3.23333 44.33333),
Ausson,4903,Valid,L5,50000,Fell,01/01/1858 12:00:00 AM,43.08333,0.58333,,,,POINT (0.58333 43.08333),
Avanhandava,4905,Valid,H4,9330,Fell,01/01/1952 12:00:00 AM,-21.46028,-49.95083,,,,POINT (-49.95083 -21.46028),
